"Variable","P_Value"
"age",4.56756230717462e-05
"grav",0.538385609267871
"para",0.322985656757068
"weight",0.121228449000087
"apg1",0.00025562887134393
"apg5",0.0236438946595257
"gest_age_days",5.38130316904189e-05
"diff_grav_para",0.430922562029936
"zip_93905",0.151990871904042
"zip_93906",0.214606257861149
"zip_93907",0.919074137493397
"zip_93908",0.552952334031803
"zip_93925",0.700711580160995
"zip_93926",0.532171629073595
"zip_93927",0.0242106772597485
"zip_93930",0.362436824837606
"zip_93933",0.346688970869807
"zip_93955",0.15923071103763
"zip_93960",0.634430893457154
"zip_95012",0.97727314762973
"zip_95039",0.810359878733592
"zip_95076",0.021717358471584
"zip_99999",0.330094087827532
"membrane_rupture_None",0.00939043177357698
"membrane_rupture_Spontaneous",0.345106512290972
"intrapartal_events_None",0.460490554438784
"intrapartal_events_Precip_Labor_lt3_hrs",0.00283670651935688
"intrapartal_events_Prolonged_2nd_Stg_gt2.5_hr",0.539080577334002
"intrapartal_events_Prolonged_2nd_Stg_gt2.5_hr_Ineffective_Pushing",0.639821142877287
"intrapartal_events_Prolonged_Labor_gt20_hrs",0.0249038992434216
"intrapartal_events_Prolonged_Labor_gt20_hrs_Ineffective_Pushing",0.829150901187808
"intrapartal_events_Prolonged_Labor_gt20_hrs_Prolonged_2nd_Stg_gt2.5_hr",0.0971292158429952
"intrapartal_events_Prolonged_Labor_gt20_hrs_Prolonged_2nd_Stg_gt2.5_hr_Ineffective_Pushing",0.317161347425787
"gender_Male",0.380214378292923
"gender_unknown",0.776623839931613
"uds_age_20_24",0.307846904297485
"uds_age_25_44",0.0259369459813401
"uds_age_lt_15",0.945018621401362
"hghRsk_yes",0.353233547731377
"conditions_cnsldt_Hemorrhage",0.59853950716917
"conditions_cnsldt_infection",0.141359388964577
"conditions_cnsldt_None",0.588323103003475
"conditions_cnsldt_Placenta_Previa",0.0320242525495458
"conditions_cnsldt_Preeclampsia",0.0299984580924558
"conditions_cnsldt_Preeclampsia_Infection",0.0155822172080274
"conditions_cnsldt_Prolonged_ROM",0.000491170916655963
"lbr_type_cnsldt_Induced",5.67438219143409e-07
"lbr_type_cnsldt_Not_Applicable",4.13149910400465e-10
"lbr_type_cnsldt_Spontaneous",1.06459592681219e-17
"lbr_type_cnsldt_Spontaneous_Augmented",0.865491811918557
"lbr_type_cnsldt_Suppressed",0.0979792782730171
"presentation_cnsldt_Vertex",0.200670290351186
"del_method_cnsldt_C_S_Repeat",0.374244593953081
"del_method_cnsldt_Vaginal",0.941131240268227
"cluster_1",0.555070349142949
