"zip","mann_kendall_p","seasonal_mann_kendall_p","variable","hghRsk","cluster","age_group","uds_age"
"93905",0.668956100288089,0.634991790744654,"zip",NA,NA,NA,NA
"93906",0.462030701651805,0.358019718822816,"zip",NA,NA,NA,NA
"93927",0.112354104991093,0.662799419249699,"zip",NA,NA,NA,NA
"95012",0.952203519345851,0.789268026134281,"zip",NA,NA,NA,NA
"93930",0.0309630672284976,0.0770998717435418,"zip",NA,NA,NA,NA
NA,0.0242098483323278,0.0455002638963584,"hghRsk","no",NA,NA,NA
NA,0.9042369820189,1,"hghRsk","yes",NA,NA,NA
NA,0.800864441518156,0.567972365509923,"cluster",NA,"1",NA,NA
NA,NA,NA,"cluster",NA,"2",NA,NA
NA,0.0253076118761195,0.0385193976450313,"cluster",NA,"3",NA,NA
NA,0.380690009694061,0.27034414065478,"age_group",NA,NA,"<21",NA
NA,0.23551399838449,0.64563035240124,"age_group",NA,NA,"21-29",NA
NA,0.0203919844919504,0.120232800536812,"age_group",NA,NA,"29-35",NA
NA,0.548293166559102,0.742308394071716,"age_group",NA,NA,">35",NA
NA,0.584262227868558,0.556298461274735,"uds_age",NA,NA,NA,"15-19"
NA,0.510407325106429,0.419954526594906,"uds_age",NA,NA,NA,"20-24"
NA,0.327317298811897,0.825547569129488,"uds_age",NA,NA,NA,"25-44"
NA,NA,NA,"uds_age",NA,NA,NA,"lt 15"
